Blog	hard	ago	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	minutes	start	already	bad	everything	past	school	myself	wanted	show	maybe	later	hope	half	far	its	th	able	couple	along	side	anything	white	doesn	dinner	tell	remember	trying	red	hot	finally	kids	book	decided	might	must	working	probably	between	favorite	hand	nothing	kind	coming	eat	weeks	enjoy	free	cool	beautiful	someone	sunday	yesterday	stuff	soon	picture	oh	less	point	seems	live	add	saw	ready	won	large	head	man	under	name	second	sweet	real	easy	early	comes	months	summer	birthday	trip	taking	green	idea	pictures	watch	outside	yes	especially	story	told	person	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	friday	sometimes	month	black	hour	wasn	fact	perfect	believe	mom	fresh	buy	lots	play	visit	bring	wait	check	weather	cup	lunch	needed	store	however	stop	several	four	cut	children	reading	run	front	recipe	thinking	looks	turn	special	late	bought	local	rather	isn	party	thanks	close	goes	guess	car	taken	cream	wonderful	gave	money	usually	either	share	living	line	ones	asked	sugar	short	others	warm	tried	looked	case	girl	baby	list	job	stay	turned	tomorrow	evening	simple	couldn	change	city	season	heart	haven	anyone	mother	face	means	walk	bed	area	order	young	kitchen	thank	amazing	monday	chocolate	cheese	interesting	loved	fine	town	spring	anyway	table	above	mean	please	christmas	taste	become	inside	feeling	tonight	felt	butter	c	talk	gone	care	reason	eating	behind	fall	knew	heat	etc	gets	heard	ask	brought	seem	books	worth	lost	although	group	cake	across	playing	cook	five	busy	chicken	coffee	boy	photo	watching	paper	amp	perhaps	oil	country	true	given	bread	ice	important	music	ok	spend	st	bowl	nbsp	meal	movie	ground	winter	number	salt	known	sun	door	sister	style	including	afternoon	extra	god	mix	word	cooking	dry	longer	wish	piece	milk	cute	words	dark	experience	low	huge	guy	air	clean	worked	hear	enjoyed	rain	write	sit	works	pick	com	blue	quickly	move	wine	box	brown	bag	talking	waiting	class	eyes	running	plan	woman	fruit	eggs	news	delicious	hands	near	tree	garden	plus	american	baking	office	pieces	finished	drink	company	age	size	sitting	sort	gift	kept	middle	note	e	sleep	cover	photos	wrong	mine	game	child	lovely	added	excited	wouldn	street	dad	restaurant	pm	needs	miss	egg	takes	except	ingredients	state	cups	hit	simply	business	type	break	flour	husband	drive	future	church	learn	parents	snow	minute	says	fast	quick	due	sauce	oven	breakfast	forward	park	learned	lives	certainly	moment	serve	recently	following	completely	shopping	glass	road	matter	color	dish	seeing	moved	problem	pepper	center	b	wonder	sense	phone	met	salad	available	non	happened	pan	whatever	leaves	deal	space	girls	view	men	body	stand	holiday	song	seemed	history	picked	saying	understand	art	bottom	mixture	super	possible	form	played	places	p	shop	women	single	pay	amount	giving	site	rice	process	french	crazy	boys	below	bake	event	meet	finish	price	garlic	watched	starting	main	against	walking	tea	funny	hold	chance	recipes	writing	project	served	six	market	x	soup	juice
Suzy and Todd	2	0	1	0	0	0	1	1	2	1	1	3	2	2	1	1	1	1	2	0	0	1	1	1	0	0	2	1	0	2	1	3	0	0	0	0	0	1	0	2	0	1	0	1	4	2	1	0	3	1	0	1	0	1	1	2	0	2	0	1	1	0	3	0	0	1	2	0	1	2	1	0	0	1	1	1	0	0	0	2	0	1	0	0	0	1	0	0	0	1	1	0	2	1	0	0	0	0	3	2	1	4	1	2	2	1	2	1	0	1	2	1	0	1	0	0	0	1	0	1	2	0	1	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	1	0	1	1	0	2	1	1	1	1	1	2	0	0	0	0	0	0	1	2	0	0	0	0	1	4	1	0	0	0	1	1	2	2	1	3	1	1	0	0	0	1	1	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	2	0	0	1	0	1	3	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	3	0	0	0	0	0	0	2	0	0	1	0	0	0	3	1	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	7	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	3	0	0	2	0	0	1	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
Elaine in Stavanger	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	2	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	1	3	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Franziska's Pantry	1	10	0	8	8	1	5	1	6	2	6	2	7	1	3	13	0	0	2	5	2	0	0	2	1	0	1	3	3	2	4	1	1	0	1	7	6	4	0	3	3	2	2	2	4	1	0	13	3	1	5	2	5	1	1	1	0	0	1	19	2	3	9	3	0	2	2	1	2	1	1	4	0	3	2	3	28	0	3	2	13	2	8	4	4	3	5	10	5	3	5	4	3	0	0	0	11	1	0	3	1	4	2	1	5	5	5	4	3	0	4	1	2	4	2	2	1	1	2	3	0	3	9	6	2	3	9	1	1	10	6	6	0	1	0	1	1	1	0	41	0	1	3	1	2	8	3	12	4	4	1	3	21	0	0	2	1	0	1	1	3	3	0	2	1	2	2	0	1	12	5	1	0	0	4	2	1	0	1	3	20	0	13	4	1	1	1	0	0	0	0	0	1	0	0	4	3	1	1	1	0	0	2	4	0	3	0	2	2	1	4	6	1	1	0	0	13	3	2	0	0	1	1	4	11	2	6	0	7	1	3	2	1	1	10	0	2	1	2	2	11	2	1	4	13	10	0	2	6	0	0	0	0	0	0	1	5	0	0	12	2	0	4	0	1	4	0	0	0	0	26	1	0	2	5	2	10	1	0	1	0	7	180	8	0	8	1	0	27	1	0	1	0	0	2	0	2	24	8	5	0	2	1	1	1	11	0	1	1	1	7	3	0	2	1	0	1	0	1	2	0	1	0	0	0	3	0	0	1	9	0	0	3	0	0	2	2	4	5	24	0	6	0	0	0	8	0	0	9	0	6	3	1	0	0	3	0	0	1	1	2	2	0	1	7	0	1	0	0	1	0	5	1	2	0	1	0	0	0	1	8	2	1	10	0	7	1	3	0	0	1	11	4	0	0	5	1	0	1	0	2	0	0	0	7	15	3	2	0	2	0	0	0	8	2	2	2	9	1	1	0	1	10	0	0	3	11	2	0	1	1	0	0	1	3	7	1	6	4	4	0	1	0	0	4	2	1	0	0	0	0	0	1	4	0	2	12	0	2	3	0	1	1	1	3	2	1	0	1	0	6	5	0	1	0	4	6	0	2	0	2	8	1	1	3	2	0	0	1	3	0	19	1	0	5	3	0	1	4	0
doezieland	1	2	5	0	1	1	2	4	1	7	6	2	1	3	1	0	2	2	0	3	1	7	0	0	0	3	1	0	6	1	3	3	2	3	3	2	0	2	1	0	1	1	4	0	2	0	6	2	1	2	0	0	0	0	0	1	1	1	1	0	3	1	0	1	1	2	2	0	4	2	2	8	2	6	1	1	0	0	0	3	0	0	2	1	1	1	2	4	1	0	0	1	6	4	2	0	0	3	0	3	1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	2	1	0	0	1	1	3	2	1	0	3	2	0	0	0	1	0	1	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	1	3	1	0	0	1	1	0	0	1	0	2	1	1	0	1	2	1	0	1	0	4	1	0	2	0	0	0	0	0	0	0	1	0	1	0	3	0	0	2	5	1	0	0	3	0	0	0	2	1	0	0	5	3	1	1	0	0	5	0	0	4	0	1	0	0	0	0	0	0	2	0	3	3	1	0	0	0	1	0	4	0	0	0	0	0	1	0	2	0	0	0	0	5	1	1	0	1	0	0	2	0	1	0	0	2	2	2	0	2	0	0	0	6	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	5	1	0	0	0	0	1	0	0	0	4	1	1	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	3	1	2	0	0	1	0	1	0	1	0	1	9	1	1	1	0	0	0	4	0	0	0	2	0	2	1	0	3	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	2	0	3	0	0	1	1	2	0	0	0	0	2	0	2	0	0	0	0	2	0	1	0	2	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	3	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0
En Sindhanai Alaigal (My Thought Waves)	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
The Louisville-St. Louis Connection	10	12	19	4	7	10	22	4	8	14	22	13	10	4	4	16	8	10	14	5	13	17	11	6	7	6	5	2	6	7	15	5	3	4	7	1	8	0	4	9	3	15	10	3	2	10	2	0	15	3	7	3	32	10	10	3	8	15	1	13	10	8	11	0	1	4	5	0	3	3	4	0	2	22	2	11	1	3	4	8	8	8	1	1	5	10	0	2	6	12	7	7	7	1	26	7	2	7	1	13	7	6	7	14	7	2	2	5	1	8	2	12	6	11	5	4	4	5	8	7	13	8	20	0	16	7	19	2	18	0	1	4	2	10	2	4	3	6	12	13	5	0	6	38	5	17	11	4	1	2	8	10	1	4	2	11	1	6	3	23	0	3	1	3	5	6	13	17	3	1	3	5	5	2	9	1	6	1	0	2	0	9	2	2	3	2	1	0	0	4	2	9	4	4	7	0	7	1	37	6	2	2	9	1	3	2	8	4	8	7	0	3	1	5	5	0	5	1	0	2	9	2	11	1	2	6	0	0	3	3	1	5	4	9	0	0	2	2	0	6	19	2	7	4	4	2	4	3	4	2	2	0	7	5	0	3	2	1	5	6	2	0	6	1	1	0	9	6	1	1	0	8	2	4	4	1	1	4	2	9	83	5	0	10	18	3	5	12	1	2	0	3	2	1	10	5	2	1	0	1	5	0	2	3	4	0	0	0	2	3	6	8	7	2	3	1	0	1	5	4	1	0	1	5	0	6	5	0	0	0	1	2	1	4	4	25	20	2	2	2	13	1	2	6	0	0	1	2	0	3	3	4	6	7	0	6	2	4	8	3	2	8	0	4	0	0	8	7	31	1	0	1	0	2	4	2	9	4	0	0	0	6	9	0	8	0	7	0	2	1	1	0	0	3	12	1	1	7	5	4	2	3	2	7	2	0	11	3	8	2	1	1	2	0	4	3	3	3	1	12	5	0	0	3	4	14	0	5	0	4	0	0	0	15	2	2	4	0	1	0	7	1	2	1	1	0	1	1	0	3	4	4	8	3	0	2	0	3	2	4	7	3	0	0	1	0	3	1	5	8	2	3	0	2	0	2	0	8	0	5	4	0	2	5	2	0	8	0	3	2	1	1	11	1	1	0	3	3	1	2
Faces / Gesichter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Essdras M Suarez - Photographer - Blog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burp! Recipes	0	0	0	4	0	0	0	2	0	1	2	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	9	3	0	0	0	2	6	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	10	0	3	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	3	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	13	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	16	0	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	2	0	21	2	0	0	0	0	53	0	10	0	0	0	5	7	0	0	0	0	0	3	20	0	0	0	7	0	6	0	0	0	0	11	0	0	1	0	3	0	1	0	0	0	0	5	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	5	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	22	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	8	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	6	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0
One Fleeting Moment	1	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	2	0	0	0	1	2	0	0	1	0	0	1	2	2	0	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	2	0	0	2	0	0	1	0	1	0	0	0	2	0	0	0	1	0	2	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	9	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Just the 2 of us	0	0	0	2	1	0	1	0	0	0	0	1	0	0	2	0	2	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	3	0	0	4	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
and so it goes...	2	1	1	1	1	1	1	1	2	3	0	2	3	0	0	1	2	0	0	0	1	0	4	0	0	1	0	0	1	0	2	1	2	0	0	0	0	0	1	1	0	0	1	0	1	3	13	0	0	0	2	1	0	1	0	1	0	0	0	0	0	1	1	1	0	2	7	4	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	1	0	0	2	1	0	0	3	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	0	0	5	1	1	0	0	4	0	2	0	0	0	0	1	0	0	0	0	2	1	1	0	0	3	0	0	2	0	0	2	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	2	0	0	1	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	1	2	0	2	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	2	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	4	0	0	1	0	1	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	2	0	4	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	2	2	1	0	1	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	3	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
