Blog	ago	hard	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	start	minutes	already	bad	past	school	everything	myself	show	wanted	later	hope	half	maybe	far	its	able	th	couple	along	anything	doesn	white	dinner	tell	side	remember	trying	red	hot	finally	kids	book	might	must	decided	working	probably	between	favorite	nothing	hand	kind	coming	weeks	eat	enjoy	cool	free	beautiful	someone	yesterday	sunday	stuff	soon	oh	picture	less	point	seems	live	add	ready	saw	large	head	won	man	under	second	name	sweet	real	early	birthday	easy	comes	months	summer	green	trip	taking	idea	pictures	outside	watch	yes	told	especially	person	story	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	month	friday	black	hour	sometimes	wasn	fact	believe	perfect	fresh	mom	buy	lots	play	visit	bring	check	wait	lunch	cup	weather	store	needed	however	stop	several	four	cut	children	run	reading	recipe	front	thinking	looks	turn	late	special	bought	rather	local	party	isn	close	thanks	guess	goes	car	taken	wonderful	cream	money	gave	usually	either	line	living	share	ones	asked	sugar	short	others	tried	warm	looked	baby	case	girl	job	list	stay	evening	turned	tomorrow	simple	couldn	change	heart	city	season	haven	anyone	mother	means	walk	face	bed	area	order	young	kitchen	amazing	thank	interesting	chocolate	fine	cheese	monday	loved	spring	town	anyway	table	above	mean	please	christmas	taste	become	inside	tonight	c	felt	feeling	butter	care	reason	talk	gone	fall	behind	eating	knew	heat	etc	gets	heard	seem	books	ask	worth	brought	lost	cake	although	group	five	across	playing	cook	busy	coffee	boy	chicken	perhaps	photo	amp	watching	paper	bread	country	oil	true	given	important	ice	music	ok	spend	st	bowl	nbsp	meal	movie	winter	salt	ground	number	known	door	sun	sister	including	style	extra	afternoon	word	god	cooking	dry	mix	milk	longer	cute	piece	words	dark	clean	wish	low	guy	air	experience	worked	huge	enjoyed	hear	write	sit	rain	works	blue	com	pick	quickly	move	box	wine	talking	bag	class	waiting	eyes	brown	plan	delicious	running	fruit	woman	news	eggs	near	tree	hands	baking	plus	office	garden	american	finished	pieces	company	drink	age	sitting	size	gift	sort	kept	cover	middle	e	note	sleep	wrong	photos	mine	game	added	lovely	child	wouldn	excited	dad	restaurant	street	pm	needs	miss	takes	except	state	cups	egg	ingredients	type	business	simply	hit	break	snow	flour	husband	drive	church	learn	future	parents	fast	says	minute	quick	sauce	due	park	oven	breakfast	forward	learned	moment	serve	certainly	following	completely	lives	recently	dish	matter	road	color	shopping	glass	moved	problem	seeing	b	center	wonder	sense	available	pepper	phone	met	salad	non	happened	whatever	leaves	pan	view	space	girls	deal	men	body	holiday	stand	seemed	song	bottom	art	history	picked	saying	mixture	super	understand	possible	p	form	shop	played	places	women	amount	giving	single	pay	site	french	rice	boys	process	below	bake	crazy	event	price	against	garlic	meet	watched	finish	starting	walking	main	recipes	tea	hold	funny	project	chance	market	served	six	writing	x	soup	juice
Suzy and Todd	0	2	1	0	0	0	1	1	2	1	1	3	2	2	1	1	1	1	2	0	1	0	1	0	1	2	1	0	0	2	1	0	3	0	0	0	0	1	2	0	0	1	0	1	4	2	1	0	1	0	3	1	0	1	1	0	2	2	0	1	1	0	0	3	0	1	0	2	1	2	0	1	0	1	1	1	0	0	0	0	1	2	0	0	1	0	0	0	1	1	0	1	0	2	0	0	0	0	3	1	2	4	2	1	1	2	2	1	0	1	2	1	0	1	0	0	0	1	0	1	1	2	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	1	0	1	0	1	2	1	1	1	1	1	0	2	0	0	0	0	0	2	1	0	0	0	1	0	1	4	0	0	0	1	2	1	1	2	3	1	0	0	1	0	1	1	0	0	2	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	2	0	0	1	0	3	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	3	0	0	0	0	2	0	0	0	0	0	1	3	0	1	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	7	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	3	0	0	0	2	1	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1
Elaine in Stavanger	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	2	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Franziska's Pantry	10	1	0	8	8	1	5	1	6	2	6	2	7	1	3	0	13	0	2	2	0	5	0	1	2	1	3	3	0	2	4	1	1	0	1	6	0	4	3	3	7	2	2	2	4	1	0	13	1	5	3	2	5	1	1	0	1	0	1	2	19	3	3	9	0	2	1	2	2	1	4	1	0	3	2	3	28	3	0	13	2	2	8	4	3	4	5	10	3	0	5	5	4	3	11	0	0	1	0	1	3	4	5	2	5	1	5	4	3	0	4	1	2	4	2	2	1	1	2	3	9	0	6	2	3	3	9	1	1	6	10	6	0	1	0	1	1	1	0	41	0	3	1	1	2	8	3	12	4	1	4	21	3	0	0	2	0	1	1	3	1	0	3	1	2	2	2	0	1	5	12	0	1	0	4	0	1	2	1	3	20	0	13	1	4	1	0	1	0	0	0	0	0	1	0	4	3	1	0	1	1	0	2	4	3	0	0	2	2	1	4	6	1	1	3	0	0	13	0	2	1	0	1	4	11	2	6	0	7	1	3	1	0	1	2	10	2	2	2	1	1	2	11	4	13	10	0	2	0	0	6	0	0	0	5	0	1	2	0	0	12	0	0	1	4	0	4	0	0	0	5	1	26	0	2	10	2	1	0	1	0	7	180	8	0	1	27	8	0	1	1	0	0	2	0	2	0	5	24	0	2	8	11	1	0	1	1	1	1	1	7	0	2	1	0	3	0	1	2	0	1	1	0	0	0	3	0	1	0	0	0	0	3	0	9	2	6	2	5	4	0	24	0	0	0	9	0	0	8	0	3	6	0	1	0	0	3	1	0	1	7	2	0	2	1	1	0	0	0	5	0	1	2	1	1	0	0	0	0	1	2	1	0	7	8	10	0	0	3	1	1	1	11	4	0	5	1	0	0	0	2	0	0	7	0	0	15	3	2	2	0	8	0	2	2	0	2	10	0	1	1	9	1	0	3	0	0	2	1	1	3	11	0	0	1	7	1	4	4	6	0	1	0	0	4	2	0	1	0	0	2	0	0	0	1	12	0	4	2	1	3	1	0	1	3	0	1	2	1	0	0	6	0	5	4	6	1	0	2	2	8	2	1	0	1	0	3	19	0	3	1	0	0	0	5	3	1	1	4	0
doezieland	2	1	5	0	1	1	2	4	1	7	6	2	1	3	1	2	0	2	0	1	7	3	0	0	0	1	0	6	3	1	3	2	3	3	3	0	1	2	0	1	2	1	4	0	2	0	6	2	2	0	1	0	0	0	0	1	1	1	1	3	0	1	1	0	1	2	0	2	4	2	8	2	2	6	1	1	0	0	0	0	0	3	2	1	1	1	2	4	0	4	1	0	1	6	0	2	0	3	0	1	3	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	2	1	1	0	1	3	0	2	1	3	0	0	2	0	0	1	0	1	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	3	1	0	1	0	1	0	0	0	1	1	2	0	1	1	2	0	1	0	1	4	1	0	2	0	0	0	0	0	0	1	0	0	3	1	0	0	0	2	0	5	1	0	3	0	2	0	0	1	0	0	3	1	5	1	0	0	5	0	4	0	0	1	0	0	0	0	0	0	2	0	3	3	1	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	2	0	0	5	1	1	0	0	0	2	1	0	0	1	0	0	2	2	2	2	0	0	0	0	6	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	5	0	1	1	0	0	0	0	1	0	0	4	0	1	0	1	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	2	1	0	0	0	0	1	1	0	1	1	9	1	1	1	0	0	4	0	0	0	0	2	2	1	3	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	2	3	0	0	2	1	1	0	0	0	0	0	0	2	2	0	2	0	0	0	1	0	0	2	2	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0
En Sindhanai Alaigal (My Thought Waves)	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
The Louisville-St. Louis Connection	12	10	19	4	7	10	22	4	8	14	22	13	10	4	4	8	16	10	14	13	17	5	11	7	6	5	2	6	6	7	15	3	5	4	7	8	4	0	9	3	1	15	10	3	2	10	2	0	3	7	15	3	32	10	10	8	3	15	1	10	13	8	0	11	1	4	0	5	3	3	0	4	2	22	2	11	1	4	3	8	8	8	1	1	10	5	0	2	12	1	6	7	7	7	2	26	7	7	1	7	13	6	7	7	2	14	2	5	1	8	2	12	6	11	5	4	4	5	8	7	20	13	0	16	8	7	19	18	2	1	0	4	2	10	2	4	6	3	5	13	12	6	0	38	5	17	11	4	1	8	2	1	10	4	2	11	6	1	3	0	23	1	3	5	3	13	6	17	3	3	1	5	5	2	9	1	6	1	0	2	0	9	2	3	2	2	0	1	0	2	4	9	7	4	4	0	7	1	2	37	6	2	9	1	2	8	3	4	8	7	0	3	5	1	1	0	2	5	5	0	2	9	11	1	2	6	0	0	3	3	1	4	0	9	5	0	0	6	2	2	7	2	19	4	4	2	4	3	2	0	4	7	2	5	2	0	3	2	1	5	6	0	1	1	6	1	0	1	9	6	4	8	0	2	4	1	1	4	2	9	83	5	0	10	18	5	1	3	12	2	3	0	2	10	1	2	5	1	1	5	0	0	0	2	0	4	0	2	3	3	6	7	2	3	1	8	1	0	4	1	5	0	0	5	1	6	5	0	0	2	1	4	1	4	0	20	1	25	2	2	13	2	6	0	2	0	1	3	0	2	4	3	7	6	0	2	6	8	4	3	0	2	0	8	4	8	0	7	31	1	0	1	2	0	2	9	4	4	0	0	6	9	8	0	0	0	1	2	0	7	1	5	0	0	3	1	1	12	7	3	2	4	2	2	7	8	0	11	3	2	2	0	1	3	3	1	4	0	5	12	0	3	1	4	14	3	0	5	4	0	2	0	0	0	15	2	4	1	0	0	1	1	2	7	1	0	1	1	3	0	2	0	4	4	8	0	3	3	2	0	4	0	7	3	1	1	5	0	3	8	0	2	0	3	2	0	2	8	4	0	0	0	2	5	5	8	2	1	0	2	3	1	1	3	1	0	11	3	1	2
Faces / Gesichter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Essdras M Suarez - Photographer - Blog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burp! Recipes	0	0	0	4	0	0	0	2	0	1	2	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	15	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	9	3	0	0	0	2	0	6	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	10	0	0	3	0	0	0	1	0	0	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	13	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	16	0	0	3	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	8	0	2	0	21	0	0	53	0	0	5	0	10	0	0	0	7	0	0	0	0	3	20	0	0	7	6	0	0	0	0	0	0	0	11	1	0	0	0	1	0	3	5	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	0	5	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	1	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	22	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0	0	0	1	8	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	6	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	13	0
One Fleeting Moment	0	1	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	2	0	0	0	1	0	2	1	0	0	0	1	2	0	2	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	2	0	1	0	2	0	0	0	0	1	0	0	0	2	0	0	0	2	1	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Just the 2 of us	0	0	0	2	1	0	1	0	0	0	0	1	0	0	2	2	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	3	0	0	4	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
and so it goes...	1	2	1	1	1	1	1	1	2	3	0	2	3	0	0	2	1	0	0	1	0	0	4	0	0	0	0	1	1	0	2	2	1	0	0	0	1	0	1	0	0	0	1	0	1	3	13	0	0	2	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	2	4	7	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	3	0	1	0	0	2	1	0	0	3	0	0	0	0	1	0	1	0	0	0	1	3	0	0	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	5	1	1	0	0	4	2	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	3	0	2	0	0	1	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	2	0	1	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	2	2	0	0	0	0	2	0	0	0	2	0	0	2	0	2	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	4	1	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	3	2	0	0	0	1	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0	1	2	1	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
